時間,温度
時間,温度
2019-01-02 21:53:44.325235,温度
2019-01-02 21:59:40.509578,46.17
2019-01-02 21:59:41.511090,13.97
2019-01-02 21:59:42.516419,52.78
2019-01-02 21:59:43.516976,50.5
2019-01-02 21:59:44.520325,40.67
2019-01-02 21:59:45.524156,79.34
2019-01-02 21:59:46.529535,73.04
2019-01-02 21:59:47.530513,21.13
2019-01-02 21:59:48.533690,79.92
2019-01-02 21:59:49.536834,95.28
2019-01-02 21:59:50.540189,93.73
2019-01-02 21:59:51.543426,14.06
2019-01-02 21:59:52.546728,99.24
2019-01-02 21:59:53.549862,17.48
2019-01-02 21:59:54.553118,12.09
2019-01-02 21:59:55.556437,14.38
2019-01-02 21:59:56.559542,66.82
2019-01-02 21:59:57.562765,76.61
2019-01-02 21:59:58.566018,71.84
2019-01-02 21:59:59.568183,11.86
2019-01-02 22:00:00.572763,59.17
2019-01-02 22:00:01.575871,0.24
2019-01-02 22:00:02.578975,71.33
2019-01-02 22:00:03.582172,72.79
2019-01-02 22:00:04.585477,5.79
2019-01-02 22:00:05.590206,36.14
2019-01-02 22:00:06.592735,23.7
2019-01-02 22:00:07.593595,9.22
2019-01-02 22:00:08.594395,96.82
2019-01-02 22:00:09.595107,51.89
2019-01-02 22:00:10.598260,3.15
2019-01-02 22:00:11.600647,40.53
2019-01-02 22:00:12.603881,24.86
2019-01-02 22:00:13.607899,62.11
2019-01-02 22:00:14.613589,28.02
2019-01-02 22:00:15.614246,84.7
2019-01-02 22:00:16.615232,38.91
2019-01-02 22:00:17.620520,10.66
2019-01-02 22:00:18.626280,0.27
2019-01-02 22:00:19.627414,56.47
2019-01-02 22:00:20.633085,31.08
2019-01-02 22:00:21.636343,5.17
2019-01-02 22:00:22.642125,99.25
2019-01-02 22:00:23.643343,8.9
2019-01-02 22:00:24.645455,61.73
2019-01-02 22:00:25.647833,33.82
2019-01-02 22:00:26.652400,98.88
2019-01-02 22:00:27.654895,4.06
2019-01-02 22:00:28.655474,93.78
2019-01-02 22:00:29.656522,83.62
2019-01-02 22:00:30.659410,19.17
2019-01-02 22:00:31.660975,15.97
2019-01-02 22:00:32.663069,7.3
2019-01-02 22:00:33.663710,18.41
2019-01-02 22:00:34.668531,92.35
2019-01-02 22:00:35.669299,53.84
2019-01-02 22:00:36.698703,1.51
2019-01-02 22:00:37.699404,11.42
2019-01-02 22:00:38.699802,19.58
2019-01-02 22:00:39.700282,68.31
2019-01-02 22:00:40.701254,31.9
2019-01-02 22:00:41.704419,84.96
2019-01-02 22:00:42.707396,49.37
2019-01-02 22:00:43.711214,3.28
2019-01-02 22:00:44.711934,30.55
2019-01-02 22:00:45.715561,8.07
2019-01-02 22:00:46.716096,40.43
2019-01-02 22:00:47.716892,86.5
2019-01-02 22:00:48.720225,75.72
2019-01-02 22:00:49.725672,68.71
2019-01-02 22:00:50.730959,56.0
2019-01-02 22:00:51.733052,12.23
2019-01-02 22:00:52.736370,51.08
2019-01-02 22:00:53.739424,52.76
2019-01-02 22:00:54.742846,55.39
2019-01-02 22:00:55.744271,42.25
2019-01-02 22:00:56.747019,52.13
2019-01-02 22:00:57.747663,11.27
2019-01-02 22:00:58.749150,68.08
2019-01-02 22:00:59.750986,63.56
2019-01-02 22:01:00.754800,76.14
